Issue Type,Summary,Description,Status,Story Points,Original Estimate,Labels,Epic Link,Parent
Task,Create new ConversationState enum,"Add 6 new states, deprecate old 17 states",To Do,1,1h,"enum,state",,Phase 2: Simplified State Machine (6 states)
Task,Implement IdleStateHandler (new),"Initial state, wait for user message or Quick Reply",To Do,2,4h,"state-handler,idle",,Phase 2: Simplified State Machine (6 states)
Task,Implement QuickReplyStateHandler,"Handle Quick Reply events, show product + gift, transition to Consulting",To Do,3,6h,"state-handler,quick-reply",,Phase 2: Simplified State Machine (6 states)
Task,Implement ConsultingStateHandler,"AI-powered consulting with ep chot prompt, answer FAQs, transition to CollectingInfo",To Do,5,10h,"state-handler,consulting,ai",,Phase 2: Simplified State Machine (6 states)
Task,Implement CollectingInfoStateHandler,"Collect phone + address, validate format, transition to DraftOrder",To Do,3,6h,"state-handler,collecting-info",,Phase 2: Simplified State Machine (6 states)
Task,Implement DraftOrderStateHandler,"Create draft order, send email to staff, transition to Complete",To Do,3,6h,"state-handler,draft-order",,Phase 2: Simplified State Machine (6 states)
Task,Implement CompleteStateHandler,"Thank you message, reset session",To Do,1,2h,"state-handler,complete",,Phase 2: Simplified State Machine (6 states)
Task,Update StateTransitionRules,"Define transitions for 6 new states",To Do,2,4h,"state-machine,rules",,Phase 2: Simplified State Machine (6 states)
Task,Create migration script for existing sessions,"Migrate old 17-state sessions to new 6-state flow",To Do,3,6h,"migration,database",,Phase 2: Simplified State Machine (6 states)
Task,Add state machine tests,"Unit and integration tests for new flow",To Do,3,6h,"testing,state-machine",,Phase 2: Simplified State Machine (6 states)
Task,Remove old state handlers,"Delete 11 unused state handlers",To Do,1,2h,"cleanup,refactor",,Phase 2: Simplified State Machine (6 states)
Story,Phase 3: Ep Chot AI Prompt Enhancement,"Implement aggressive sales-focused AI prompt that always asks for phone + address",To Do,5,3d,"phase-3,ai-prompt,sales",Multi-Tenant Messenger Chatbot Platform,
Task,Design ep chot system prompt,"Create system prompt with sales focus and objection handling",To Do,3,6h,"ai,prompt-engineering",,Phase 3: Ep Chot AI Prompt Enhancement
Task,Implement prompt template system,"Allow dynamic prompt injection based on state",To Do,2,4h,"ai,prompt-template",,Phase 3: Ep Chot AI Prompt Enhancement
Task,Add objection handling patterns,"Handle common objections: price, quality, shipping",To Do,3,6h,"ai,objection-handling",,Phase 3: Ep Chot AI Prompt Enhancement
Task,Implement conversation memory,"Track conversation history for context-aware responses",To Do,2,4h,"ai,memory",,Phase 3: Ep Chot AI Prompt Enhancement
Task,Test ep chot effectiveness,"A/B testing with conversion rate metrics",To Do,2,4h,"testing,ab-testing",,Phase 3: Ep Chot AI Prompt Enhancement
Story,Phase 4: AI Data Enhancement,"Add FAQs, Promotions, Policies, Inventory, Shipping rules to AI knowledge base",To Do,8,5d,"phase-4,ai-data,knowledge-base",Multi-Tenant Messenger Chatbot Platform,
Task,Create FAQ entity and repository,"Store frequently asked questions with categories",To Do,2,3h,"entity,faq",,Phase 4: AI Data Enhancement
Task,Create Policy entity and repository,"Store store policies, return policy, warranty",To Do,2,3h,"entity,policy",,Phase 4: AI Data Enhancement
Task,Create Promotion entity and repository,"Store active promotions and campaigns",To Do,2,3h,"entity,promotion",,Phase 4: AI Data Enhancement
Task,Create ShippingRule entity,"Store shipping fee rules by region",To Do,2,3h,"entity,shipping",,Phase 4: AI Data Enhancement
Task,Implement RAG for FAQ search,"Vector search for relevant FAQs",To Do,3,6h,"rag,faq",,Phase 4: AI Data Enhancement
Task,Implement RAG for Policy search,"Vector search for relevant policies",To Do,2,4h,"rag,policy",,Phase 4: AI Data Enhancement
Task,Update AI prompt with knowledge base,"Inject FAQs, policies, promotions into prompt",To Do,3,6h,"ai,prompt",,Phase 4: AI Data Enhancement
Task,Seed initial data,"Add 50+ FAQs, 10+ policies, 5+ promotions",To Do,2,4h,"data,seeding",,Phase 4: AI Data Enhancement
Task,Add knowledge base tests,"Test RAG search and prompt injection",To Do,2,4h,"testing,knowledge-base",,Phase 4: AI Data Enhancement
Story,Phase 5: Nobita CRM API Integration,"Integrate with Nobita API for customer lookup, risk scoring, and order creation",To Do,13,8d,"phase-5,nobita-api,integration",Multi-Tenant Messenger Chatbot Platform,
Task,Research Nobita API documentation,"Understand endpoints, authentication, data models",To Do,2,4h,"research,api",,Phase 5: Nobita CRM API Integration
Task,Create NobitaApiClient service,"HTTP client with authentication and retry logic",To Do,3,6h,"service,api-client",,Phase 5: Nobita CRM API Integration
Task,Implement customer lookup by phone,"GET /customers?phone={phone}",To Do,2,4h,"api,customer",,Phase 5: Nobita CRM API Integration
Task,Implement order history retrieval,"GET /customers/{id}/orders",To Do,2,4h,"api,order-history",,Phase 5: Nobita CRM API Integration
Task,Implement draft order creation,"POST /orders/draft with customer + products",To Do,3,6h,"api,draft-order",,Phase 5: Nobita CRM API Integration
Task,Implement order approval,"PUT /orders/{id}/approve",To Do,2,4h,"api,order-approval",,Phase 5: Nobita CRM API Integration
Task,Add Nobita API configuration,"NobitaOptions with BaseUrl, ApiKey, Timeout",To Do,1,2h,"configuration,api",,Phase 5: Nobita CRM API Integration
Task,Add Nobita API tests,"Unit tests with mocked HTTP responses",To Do,3,6h,"testing,api",,Phase 5: Nobita CRM API Integration
Task,Add error handling and logging,"Handle API errors gracefully",To Do,2,4h,"error-handling,logging",,Phase 5: Nobita CRM API Integration
Story,Phase 6: Customer Tracking & Risk Scoring,"Track customer order history and calculate risk score for bom hang detection",To Do,13,8d,"phase-6,customer-tracking,risk-scoring",Multi-Tenant Messenger Chatbot Platform,
Task,Create Customer entity,"PSID, phone, name, delivery_success_rate, total_orders, lifetime_value",To Do,2,3h,"entity,customer",,Phase 6: Customer Tracking & Risk Scoring
Task,Create CustomerRepository,"CRUD operations for Customer",To Do,2,3h,"repository,customer",,Phase 6: Customer Tracking & Risk Scoring
Task,Create CustomerTrackingService,"Track customer interactions and orders",To Do,3,6h,"service,customer-tracking",,Phase 6: Customer Tracking & Risk Scoring
Task,Implement risk scoring algorithm,"Calculate risk score based on delivery rate and order history",To Do,5,10h,"algorithm,risk-scoring",,Phase 6: Customer Tracking & Risk Scoring
Task,Create CustomerTag entity,"Tag system: VIP, POTENTIAL_SCAMMER, NEW_CUSTOMER",To Do,2,3h,"entity,tag",,Phase 6: Customer Tracking & Risk Scoring
Task,Implement auto-tagging logic,"Auto-tag based on risk score and order count",To Do,3,6h,"service,auto-tagging",,Phase 6: Customer Tracking & Risk Scoring
Task,Integrate with Nobita for order history,"Sync order history from Nobita on first contact",To Do,3,6h,"integration,nobita",,Phase 6: Customer Tracking & Risk Scoring
Task,Add customer tracking tests,"Test risk scoring and tagging logic",To Do,3,6h,"testing,customer",,Phase 6: Customer Tracking & Risk Scoring
Story,Phase 7: VIP Customer Detection & Tone Adjustment,"Detect VIP customers and adjust AI tone to be more friendly, but never offer discounts",To Do,8,5d,"phase-7,vip-detection,personalization",Multi-Tenant Messenger Chatbot Platform,
Task,Define VIP criteria,"Order count >= 5 OR lifetime value >= 5M VND",To Do,1,2h,"business-logic,vip",,Phase 7: VIP Customer Detection & Tone Adjustment
Task,Implement VIP detection service,"Check if customer meets VIP criteria",To Do,2,4h,"service,vip-detection",,Phase 7: VIP Customer Detection & Tone Adjustment
Task,Create VIP-specific AI prompt,"Friendly tone: 'Dạ em chào chị khách quen của Múi Xù...'",To Do,3,6h,"ai,prompt,vip",,Phase 7: VIP Customer Detection & Tone Adjustment
Task,Implement prompt switching logic,"Switch between normal and VIP prompts",To Do,2,4h,"ai,prompt-switching",,Phase 7: VIP Customer Detection & Tone Adjustment
Task,Add strict no-discount rule,"AI must NEVER offer discounts or free gifts outside of promotions",To Do,2,4h,"ai,guardrails",,Phase 7: VIP Customer Detection & Tone Adjustment
Task,Test VIP detection and tone,"Verify friendly tone without price changes",To Do,2,4h,"testing,vip",,Phase 7: VIP Customer Detection & Tone Adjustment
Story,Phase 8: Draft Order + Email Notification System,"Create draft orders and send email to staff for review before sending to Nobita",To Do,13,8d,"phase-8,draft-order,email",Multi-Tenant Messenger Chatbot Platform,
Task,Create DraftOrder entity,"Separate from Order, includes customer info + products + risk score",To Do,2,3h,"entity,draft-order",,Phase 8: Draft Order + Email Notification System
Task,Create DraftOrderRepository,"CRUD operations for DraftOrder",To Do,2,3h,"repository,draft-order",,Phase 8: Draft Order + Email Notification System
Task,Implement SMTP email service,"EmailService with SendGrid or SMTP configuration",To Do,3,6h,"service,email,smtp",,Phase 8: Draft Order + Email Notification System
Task,Create email templates,"HTML templates for draft order notification with Approve/Reject buttons",To Do,3,6h,"email,templates",,Phase 8: Draft Order + Email Notification System
Task,Implement draft order workflow,"Bot → DraftOrder → Email → Staff Review",To Do,3,6h,"workflow,draft-order",,Phase 8: Draft Order + Email Notification System
Task,Create approval endpoint,"POST /api/draft-orders/{id}/approve with token authentication",To Do,3,6h,"api,approval",,Phase 8: Draft Order + Email Notification System
Task,Implement Nobita order creation on approval,"After approval, send to Nobita API",To Do,3,6h,"integration,nobita",,Phase 8: Draft Order + Email Notification System
Task,Add email configuration,"EmailOptions with SMTP settings",To Do,1,2h,"configuration,email",,Phase 8: Draft Order + Email Notification System
Task,Add draft order tests,"Test workflow and email sending",To Do,3,6h,"testing,draft-order",,Phase 8: Draft Order + Email Notification System
Story,Phase 9: Human Handoff System,"Implement human handoff when AI cannot handle request, with email notification and bot pause",To Do,13,8d,"phase-9,human-handoff,escalation",Multi-Tenant Messenger Chatbot Platform,
Task,Create HandoffSession entity,"Track handoff sessions with reason, status, assigned_to",To Do,2,3h,"entity,handoff",,Phase 9: Human Handoff System
Task,Create HandoffSessionRepository,"CRUD operations for HandoffSession",To Do,2,3h,"repository,handoff",,Phase 9: Human Handoff System
Task,Implement handoff trigger detection,"Detect when AI cannot handle: prompt injection, out-of-scope requests",To Do,5,10h,"ai,detection,handoff",,Phase 9: Human Handoff System
Task,Create HandoffStateHandler,"Pause bot, send email to staff, wait for completion",To Do,3,6h,"state-handler,handoff",,Phase 9: Human Handoff System
Task,Implement handoff email notification,"Email with customer info, conversation history, and 'Complete' button",To Do,3,6h,"email,notification",,Phase 9: Human Handoff System
Task,Create handoff completion endpoint,"POST /api/handoff/{id}/complete with token authentication",To Do,2,4h,"api,handoff",,Phase 9: Human Handoff System
Task,Implement bot resume logic,"Resume bot after staff completes handoff",To Do,2,4h,"state-machine,resume",,Phase 9: Human Handoff System
Task,Add 30-minute timeout mechanism,"Auto-resume bot if staff doesn't respond in 30 minutes",To Do,3,6h,"timeout,automation",,Phase 9: Human Handoff System
Task,Add handoff tests,"Test trigger detection, email, and resume",To Do,3,6h,"testing,handoff",,Phase 9: Human Handoff System
Story,Phase 10: Multi-Tenant Architecture,"Implement multi-tenant support with tenant isolation and security",To Do,21,15d,"phase-10,multi-tenant,architecture",Multi-Tenant Messenger Chatbot Platform,
Sub-task,Phase 10A: Database Schema Migration,"Add tenant_id to all entities, create Tenants/Branches tables",To Do,8,5d,"database,migration,tenant",,Phase 10: Multi-Tenant Architecture
Task,Create Tenant entity,"Id, Name, ContactEmail, IsActive, CreatedAt",To Do,2,3h,"entity,tenant",,Phase 10A: Database Schema Migration
Task,Create Branch entity,"Id, TenantId, Name, FacebookPageId, IsActive",To Do,2,3h,"entity,branch",,Phase 10A: Database Schema Migration
Task,Create TenantEntity base class,"Abstract base with TenantId property",To Do,1,2h,"entity,base-class",,Phase 10A: Database Schema Migration
Task,Update all entities with TenantId,"Product, Order, Customer, Session, etc.",To Do,3,6h,"entity,migration",,Phase 10A: Database Schema Migration
Task,Create and apply EF migration,"Generate migration for tenant_id columns",To Do,2,4h,"migration,ef-core",,Phase 10A: Database Schema Migration
Task,Seed Múi Xù as first tenant,"Create tenant and branch for existing data",To Do,2,4h,"data,seeding",,Phase 10A: Database Schema Migration
Task,Migrate existing data to first tenant,"Update all records with tenant_id",To Do,3,6h,"migration,data",,Phase 10A: Database Schema Migration
Sub-task,Phase 10B: Request Routing & Context,"Implement tenant resolution from PageId with caching",To Do,5,3d,"routing,tenant-context",,Phase 10: Multi-Tenant Architecture
Task,Create ITenantContext service,"Provide current tenant context",To Do,2,3h,"service,tenant-context",,Phase 10B: Request Routing & Context
Task,Create TenantResolutionMiddleware,"Resolve tenant from FacebookPageId in webhook",To Do,3,6h,"middleware,routing",,Phase 10B: Request Routing & Context
Task,Add EF Core global query filters,"Automatic tenant filtering for all queries",To Do,3,6h,"ef-core,query-filter",,Phase 10B: Request Routing & Context
Task,Create BranchRepository,"Repository for branch lookup by PageId",To Do,2,3h,"repository,branch",,Phase 10B: Request Routing & Context
Task,Add routing tests,"Test tenant resolution and query filters",To Do,3,6h,"testing,routing",,Phase 10B: Request Routing & Context
Sub-task,Phase 10C: Caching Layer (Redis),"Setup Redis for L1+L2 caching with tenant-aware keys",To Do,5,3d,"caching,redis,performance",,Phase 10: Multi-Tenant Architecture
Task,Setup Redis infrastructure,"Configure Redis Cloud or self-hosted",To Do,2,4h,"infrastructure,redis",,Phase 10C: Caching Layer (Redis)
Task,Create TenantAwareCache service,"Implement cache with tenant-prefixed keys",To Do,3,6h,"service,cache",,Phase 10C: Caching Layer (Redis)
Task,Create HybridCache (L1+L2),"Memory + Redis hybrid caching",To Do,3,6h,"cache,hybrid",,Phase 10C: Caching Layer (Redis)
Task,Update repositories with caching,"Add caching to product and session repos",To Do,3,6h,"repository,cache",,Phase 10C: Caching Layer (Redis)
Task,Add cache tests,"Test cache hit/miss and invalidation",To Do,3,6h,"testing,cache",,Phase 10C: Caching Layer (Redis)
Sub-task,Phase 10D: Security Hardening,"PostgreSQL RLS, encryption, audit logging",To Do,8,5d,"security,compliance,rls",,Phase 10: Multi-Tenant Architecture
Task,Enable PostgreSQL Row-Level Security,"Enable RLS on all tenant tables",To Do,2,4h,"database,rls,security",,Phase 10D: Security Hardening
Task,Create RLS policies,"Create tenant isolation policies",To Do,3,6h,"database,rls,policy",,Phase 10D: Security Hardening
Task,Implement field encryption,"Encrypt API keys and tokens at rest",To Do,3,6h,"security,encryption",,Phase 10D: Security Hardening
Task,Create audit log system,"Log all tenant operations for compliance",To Do,3,6h,"audit,logging",,Phase 10D: Security Hardening
Task,Add security tests,"Test tenant isolation and RLS",To Do,3,6h,"testing,security",,Phase 10D: Security Hardening
Sub-task,Phase 10E: Testing & Validation,"Comprehensive testing and performance validation",To Do,5,3d,"testing,validation,performance",,Phase 10: Multi-Tenant Architecture
Task,Write unit tests,"Unit tests for all multi-tenant components",To Do,3,6h,"testing,unit-test",,Phase 10E: Testing & Validation
Task,Write integration tests,"Integration tests for tenant isolation",To Do,3,6h,"testing,integration-test",,Phase 10E: Testing & Validation
Task,Write E2E tests,"End-to-end multi-tenant webhook flow",To Do,3,6h,"testing,e2e",,Phase 10E: Testing & Validation
Task,Run performance benchmarks,"Measure tenant resolution and cache performance",To Do,2,4h,"testing,performance",,Phase 10E: Testing & Validation
Task,Security audit,"Manual security checklist and automated tests",To Do,2,4h,"security,audit",,Phase 10E: Testing & Validation
Story,Phase 11: Livestream Auto-Reply,"Implement auto-reply for Facebook livestream comments with comment hiding",To Do,8,5d,"phase-11,livestream,facebook-api",Multi-Tenant Messenger Chatbot Platform,
Task,Research Facebook Live API,"Research livestream comment webhook events and permissions",To Do,2,4h,"research,facebook-api",,Phase 11: Livestream Auto-Reply
Task,Create LivestreamSession entity,"Track livestream sessions and comments",To Do,2,3h,"entity,livestream",,Phase 11: Livestream Auto-Reply
Task,Implement livestream webhook handler,"Handle livestream comment events",To Do,3,6h,"webhook,livestream",,Phase 11: Livestream Auto-Reply
Task,Implement auto-reply logic,"AI-powered auto-reply for common questions",To Do,5,10h,"ai,auto-reply",,Phase 11: Livestream Auto-Reply
Task,Implement comment hiding,"Hide customer comments after auto-reply",To Do,3,6h,"facebook-api,comment",,Phase 11: Livestream Auto-Reply
Task,Add livestream tests,"Test comment detection and auto-reply",To Do,3,6h,"testing,livestream",,Phase 11: Livestream Auto-Reply
Story,Phase 12: Testing & Production Deployment,"Final testing, optimization, and production deployment",To Do,13,10d,"phase-12,testing,deployment,production",Multi-Tenant Messenger Chatbot Platform,
Task,Run full test suite,"Execute all unit, integration, E2E tests",To Do,2,4h,"testing,full-suite",,Phase 12: Testing & Production Deployment
Task,Performance optimization,"Optimize database queries and caching",To Do,3,8h,"performance,optimization",,Phase 12: Testing & Production Deployment
Task,Security hardening review,"Final security audit and penetration testing",To Do,3,8h,"security,audit",,Phase 12: Testing & Production Deployment
Task,Setup production infrastructure,"Configure production servers, Redis, PostgreSQL",To Do,3,8h,"infrastructure,production",,Phase 12: Testing & Production Deployment
Task,Create deployment documentation,"Document deployment process and rollback procedures",To Do,2,4h,"documentation,deployment",,Phase 12: Testing & Production Deployment
Task,Deploy to staging,"Deploy and test in staging environment",To Do,3,6h,"deployment,staging",,Phase 12: Testing & Production Deployment
Task,User acceptance testing,"Test with real users in staging",To Do,2,8h,"testing,uat",,Phase 12: Testing & Production Deployment
Task,Deploy to production,"Production deployment with monitoring",To Do,3,8h,"deployment,production",,Phase 12: Testing & Production Deployment
Task,Post-deployment monitoring,"Monitor for 48 hours, fix critical issues",To Do,3,12h,"monitoring,production",,Phase 12: Testing & Production Deployment
Task,Create runbook,"Document common issues and solutions",To Do,2,4h,"documentation,runbook",,Phase 12: Testing & Production Deployment
